Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2016,10,Sant Martí,68,el Poblenou,Dona,Estrangera,20-24 anys,127
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Estrangera,20-24 anys,47
2016,10,Sant Martí,70,el Besòs i el Maresme,Dona,Estrangera,20-24 anys,190
2016,10,Sant Martí,71,Provençals del Poblenou,Dona,Estrangera,20-24 anys,90
2016,10,Sant Martí,72,Sant Martí de Provençals,Dona,Estrangera,20-24 anys,118
2016,10,Sant Martí,73,la Verneda i la Pau,Dona,Estrangera,20-24 anys,115
2016,1,Ciutat Vella,1,el Raval,Dona,Estrangera,25-29 anys,1462
2016,1,Ciutat Vella,2,el Barri Gòtic,Dona,Estrangera,25-29 anys,774
2016,1,Ciutat Vella,3,la Barceloneta,Dona,Estrangera,25-29 anys,496
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Estrangera,25-29 anys,884
2016,2,Eixample,5,el Fort Pienc,Dona,Estrangera,25-29 anys,581
2016,2,Eixample,6,la Sagrada Família,Dona,Estrangera,25-29 anys,925
2016,2,Eixample,7,la Dreta de l'Eixample,Dona,Estrangera,25-29 anys,854
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Estrangera,25-29 anys,780
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Estrangera,25-29 anys,980
2016,2,Eixample,10,Sant Antoni,Dona,Estrangera,25-29 anys,622
2016,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Dona,Estrangera,25-29 anys,770
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Dona,Estrangera,25-29 anys,11
2016,3,Sants-Montjuïc,13,la Marina de Port,Dona,Estrangera,25-29 anys,241
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Estrangera,25-29 anys,167
2016,3,Sants-Montjuïc,15,Hostafrancs,Dona,Estrangera,25-29 anys,284
2016,3,Sants-Montjuïc,16,la Bordeta,Dona,Estrangera,25-29 anys,177
2016,3,Sants-Montjuïc,17,Sants - Badal,Dona,Estrangera,25-29 anys,282
2016,3,Sants-Montjuïc,18,Sants,Dona,Estrangera,25-29 anys,516
